"Group","Role","Filename","SourceRelativePath","PublicPath","ReferencedBy","Description","SourceSHA256","PublicSHA256","Sanitized"
"AP-PINN","dependency","summarize_fixedM_inverse_results.py","代码\summarize_fixedM_inverse_results.py","src\summarize_fixedM_inverse_results.py","run_fixedM_amplitude_full_pipeline.py","Local dependency of run_fixedM_amplitude_full_pipeline.py","FD909B6D1FF86B144C87E306A1A3590BD060CB7B02B78356B063BE8DCD50D594","FD909B6D1FF86B144C87E306A1A3590BD060CB7B02B78356B063BE8DCD50D594","False"
"AP-PINN","dependency","train_fixedM_cnn_full_propagation_v2.py","代码\train_fixedM_cnn_full_propagation_v2.py","src\train_fixedM_cnn_full_propagation_v2.py","eval_fixedM_pinn_full_propagation_v4_verified_batch.py","Local dependency of eval_fixedM_pinn_full_propagation_v4_verified_batch.py","7C47D5A1982DA9C6E092ED0578220871747DA1C93E430B29F25A50499A4D25A1","7C47D5A1982DA9C6E092ED0578220871747DA1C93E430B29F25A50499A4D25A1","False"
"AP-PINN","dependency","train_inverse_multi_pulse_pinn_pure_physics.py","代码\train_inverse_multi_pulse_pinn_pure_physics.py","src\train_inverse_multi_pulse_pinn_pure_physics.py","inverse_idea1a_continuous_terminal_only.py","Local dependency of inverse_idea1a_continuous_terminal_only.py","37BC42E0F66BB8F5E6CA36DD73570BCB3AD399D541E2835A932FA93E8B642636","490CEC8350D08DC37A3E90493B545365F25F339C930F8BAB5327561D3D134978","True"
"AP-PINN","dependency","train_multi_pulse_pinn.py","代码\train_multi_pulse_pinn.py","src\train_multi_pulse_pinn.py","run_fixedM_amplitude_full_pipeline.py","Local dependency of run_fixedM_amplitude_full_pipeline.py","F0EB4542ACE6F958DA347101663DED70BFB807486595F00A595035CBE4F2D4F3","F0EB4542ACE6F958DA347101663DED70BFB807486595F00A595035CBE4F2D4F3","False"
"AP-PINN","entrypoint","eval_fixedM_pinn_full_propagation_v4_verified_batch.py","代码\eval_fixedM_pinn_full_propagation_v4_verified_batch.py","src\eval_fixedM_pinn_full_propagation_v4_verified_batch.py","","Formal full-propagation evaluation for the fixed-M AP-PINNs.","E30F059EB37F7342BDA3BABB0951C8A3D7943A18357011016667531FB13F6627","E30F059EB37F7342BDA3BABB0951C8A3D7943A18357011016667531FB13F6627","False"
"AP-PINN","entrypoint","run_fixedM_amplitude_full_pipeline.py","代码\run_fixedM_amplitude_full_pipeline.py","src\run_fixedM_amplitude_full_pipeline.py","","End-to-end fixed-M AP-PINN data split, training, forward evaluation, and inversion pipeline.","AA791E689BE38D58F7FF77FBEAEC7A2913858015EC150FC185FA2771F8F3FD94","AA791E689BE38D58F7FF77FBEAEC7A2913858015EC150FC185FA2771F8F3FD94","False"
"AP-PINN","entrypoint","run_fixedM_inverse_all.py","代码\run_fixedM_inverse_all.py","src\run_fixedM_inverse_all.py","","Fixed-M continuous-amplitude inversion entry point.","3D2E4834CEFA7856F5CD6D8EFC7BD8115527E28467126E3B84D892F32EE71AC2","3D2E4834CEFA7856F5CD6D8EFC7BD8115527E28467126E3B84D892F32EE71AC2","False"
"Baselines","dependency","run_fixedM_endpoint_CNN_samearch_DDNN_full_sampling_resume_v10b_windowsfix.py","代码\run_fixedM_endpoint_CNN_samearch_DDNN_full_sampling_resume_v10b_windowsfix.py","src\run_fixedM_endpoint_CNN_samearch_DDNN_full_sampling_resume_v10b_windowsfix.py","evaluate_random_continuous_inverse_CNN_DDNN_v2.py","Local dependency of evaluate_random_continuous_inverse_CNN_DDNN_v2.py","50C8B247187B58ACDFA606B1B3EE5A4859E14D8D0934CBE9585935CB5C904C94","50C8B247187B58ACDFA606B1B3EE5A4859E14D8D0934CBE9585935CB5C904C94","False"
"Baselines","entrypoint","evaluate_random_continuous_inverse_CNN_DDNN_v2.py","代码\evaluate_random_continuous_inverse_CNN_DDNN_v2.py","src\evaluate_random_continuous_inverse_CNN_DDNN_v2.py","","Continuous-amplitude inverse comparison for CNN and DDNN.","4762D76744DAED2042FF2456C2571CE4AB1171C34FA295AA5FFC863EB4458C5E","4762D76744DAED2042FF2456C2571CE4AB1171C34FA295AA5FFC863EB4458C5E","False"
"Baselines","entrypoint","run_universal_baseline_cnn_inverse.py","run_universal_baseline_cnn_inverse.py","src\run_universal_baseline_cnn_inverse.py","","Separately trained inverse CNN baseline.","C871F1C7E8A39DFBD76C6BF070D386F53F5EB3F0DB784010DD3BB72FC238211E","C871F1C7E8A39DFBD76C6BF070D386F53F5EB3F0DB784010DD3BB72FC238211E","False"
"Baselines","entrypoint","run_universal_full81_CNN_DDNN.py","run_universal_full81_CNN_DDNN.py","src\run_universal_full81_CNN_DDNN.py","","Universal CNN and DDNN forward baselines under the same 81-plane protocol.","545F57532C333D4B8CA705A237AF6A8EDE319A2241A769F91458CCD69C4A10AB","545F57532C333D4B8CA705A237AF6A8EDE319A2241A769F91458CCD69C4A10AB","False"
"beta2-MP-PINN","dependency","universal_beta2_common.py","universal_beta2_common.py","src\universal_beta2_common.py","train_forward_sparse8_universal_highK_beta2_from_original_transfer_v2.py","Local dependency of train_forward_sparse8_universal_highK_beta2_from_original_transfer_v2.py","C4663BFE61413339391C9F8EC23CD3A7105B4994A7A9DD37A21A547E4291FA2B","C4663BFE61413339391C9F8EC23CD3A7105B4994A7A9DD37A21A547E4291FA2B","False"
"beta2-MP-PINN","entrypoint","continue_universal_beta2_forward_v2.py","continue_universal_beta2_forward_v2.py","src\continue_universal_beta2_forward_v2.py","","Continuation and high-K refinement of the beta2-MP-PINN.","7072507D66DF81922E53B6ECE3DA22C4888A3A8749B2ECB4A04951CBC88C35A5","7072507D66DF81922E53B6ECE3DA22C4888A3A8749B2ECB4A04951CBC88C35A5","False"
"beta2-MP-PINN","entrypoint","eval_universal_beta2.py","eval_universal_beta2.py","src\eval_universal_beta2.py","","Formal beta2-MP-PINN forward evaluation for unseen amplitude combinations.","A549EEA17A67F27CF5641B8F3C198E5530D88C4C8FCF38B3E12DE58C217B5F84","A549EEA17A67F27CF5641B8F3C198E5530D88C4C8FCF38B3E12DE58C217B5F84","False"
"beta2-MP-PINN","entrypoint","eval_universal_beta2_trainA.py","eval_universal_beta2_trainA.py","src\eval_universal_beta2_trainA.py","","Forward evaluation for training amplitude combinations under unseen beta2 values.","DC4939D8FB99D2F521DFAD762D8C1A573ABA2341F0C8C77A962B9DEFA73971BC","DC4939D8FB99D2F521DFAD762D8C1A573ABA2341F0C8C77A962B9DEFA73971BC","False"
"beta2-MP-PINN","entrypoint","inverse_universal_beta2_v2_power_backcheck.py","inverse_universal_beta2_v2_power_backcheck.py","src\inverse_universal_beta2_v2_power_backcheck.py","","Joint inversion of pulse number, amplitudes, and normalized beta2.","6A30E3AE03C93766510F3AD35C2D6E365F52E64EED9BFDF1D050C9EF6DBF9D70","9CA86F95C4F5FAD24F105486A5E46D735590053AA41BDA4A570BD0F62A4263A1","True"
"beta2-MP-PINN","entrypoint","train_forward_sparse8_universal_highK_beta2_from_original_transfer_v2.py","train_forward_sparse8_universal_highK_beta2_from_original_transfer_v2.py","src\train_forward_sparse8_universal_highK_beta2_from_original_transfer_v2.py","","Transfer initialization and training of the beta2-conditioned universal MP-PINN.","53DDF7B2A28D8C3FEDB3C3D9AA82F801447B146B72DC40985C5E644489B055BC","53DDF7B2A28D8C3FEDB3C3D9AA82F801447B146B72DC40985C5E644489B055BC","False"
"Distance extrapolation","dependency","run_universal_pinn_incremental_extend_0to25_purephysics.py","run_universal_pinn_incremental_extend_0to25_purephysics.py","src\run_universal_pinn_incremental_extend_0to25_purephysics.py","train_universal_pinn_direct_0to25_fromscratch.py","Local dependency of train_universal_pinn_direct_0to25_fromscratch.py","104746E9798F3358CEB3452367646C8A405A2156E12EEA99A25096FD10DFAF4F","104746E9798F3358CEB3452367646C8A405A2156E12EEA99A25096FD10DFAF4F","False"
"Distance extrapolation","dependency","train_forward_sparse8_universal_highK_direct_0to25_density125_FIX1_RESUME.py","train_forward_sparse8_universal_highK_direct_0to25_density125_FIX1_RESUME.py","src\train_forward_sparse8_universal_highK_direct_0to25_density125_FIX1_RESUME.py","run_0to25_actual_budget_scratch_or_from20.py","Local dependency of run_0to25_actual_budget_scratch_or_from20.py","CB117EAF3737E256A75FD7930839DD5344D7A01F1F1AC7DF1A9F70892E9A9670","CB117EAF3737E256A75FD7930839DD5344D7A01F1F1AC7DF1A9F70892E9A9670","False"
"Distance extrapolation","entrypoint","compare_universal_PINN_0to20_vs_0to25_same_protocol.py","compare_universal_PINN_0to20_vs_0to25_same_protocol.py","src\compare_universal_PINN_0to20_vs_0to25_same_protocol.py","","Consistent-protocol comparison of 0-20 km and 0-25 km propagation models.","F5CA68B514EC588EA05BC488B28927F786913FB65F494CFCA366019EDEEEAB9C","F5CA68B514EC588EA05BC488B28927F786913FB65F494CFCA366019EDEEEAB9C","False"
"Distance extrapolation","entrypoint","eval_0to25_budget_10_25_50_full78624_resume.py","eval_0to25_budget_10_25_50_full78624_resume.py","src\eval_0to25_budget_10_25_50_full78624_resume.py","","Formal all-unseen evaluation of propagation-range extension budgets.","D4DCB35A3FE924F2EDB2D50292AC3574FF67592222D625F243380AB73556D0EF","D4DCB35A3FE924F2EDB2D50292AC3574FF67592222D625F243380AB73556D0EF","False"
"Distance extrapolation","entrypoint","run_0to25_actual_budget_scratch_or_from20.py","run_0to25_actual_budget_scratch_or_from20.py","src\run_0to25_actual_budget_scratch_or_from20.py","","Fine-tuning and from-scratch experiments for propagation-range extension.","154DEB651665146590D4AA880413BA1413FF96B25796906A4A48DBD198568728","154DEB651665146590D4AA880413BA1413FF96B25796906A4A48DBD198568728","False"
"Distance extrapolation","entrypoint","train_universal_pinn_direct_0to25_fromscratch.py","train_universal_pinn_direct_0to25_fromscratch.py","src\train_universal_pinn_direct_0to25_fromscratch.py","","Direct 0-25 km model training from scratch.","CFB47D852B46A43F03DDB379D127AD9E76C7D094AAACFA64E96BF956914B4450","CFB47D852B46A43F03DDB379D127AD9E76C7D094AAACFA64E96BF956914B4450","False"
"MP-PINN","entrypoint","eval_universal_pinn_full81.py","eval_universal_pinn_full81.py","src\eval_universal_pinn_full81.py","","Full-propagation forward evaluation on unseen amplitude combinations.","581E98C6A9CA7E7351F9B96CCE64143A4AE37294D5806478C2E513900CF9166C","581E98C6A9CA7E7351F9B96CCE64143A4AE37294D5806478C2E513900CF9166C","False"
"MP-PINN","entrypoint","inverse_universal_unknownK_continuous_v4_sample_batch.py","代码\inverse_universal_unknownK_continuous_v4_sample_batch.py","src\inverse_universal_unknownK_continuous_v4_sample_batch.py","","Unknown-K continuous-amplitude inversion with candidate search and BIC.","5E5E46966BFA1193D4BF0EF5D6A41B6BF7C025F41A3C83420AD5D6F676ED66D6","5E5E46966BFA1193D4BF0EF5D6A41B6BF7C025F41A3C83420AD5D6F676ED66D6","False"
"MP-PINN","entrypoint","train_forward_sparse8_universal_highK.py","代码\train_forward_sparse8_universal_highK.py","src\train_forward_sparse8_universal_highK.py","","Training of the universal sparse-eight-slot MP-PINN for K=1,...,8.","CEF5528B8242F7BD55EA8514E02F000098335BC01F6A4B78C78D57D7A4A4F195","CEF5528B8242F7BD55EA8514E02F000098335BC01F6A4B78C78D57D7A4A4F195","False"
"Plotting","dependency","compare_universal_inverse_exact_two_PINN_sets_FINAL_FIX2.py","compare_universal_inverse_exact_two_PINN_sets_FINAL_FIX2.py","src\compare_universal_inverse_exact_two_PINN_sets_FINAL_FIX2.py","visualize_universal_inverse_best200_paper_fixedsample_v7.py","Local dependency of visualize_universal_inverse_best200_paper_fixedsample_v7.py","7F4D52886AD595DBFF3CADB20890CF876874148972E88F46777AAC52C504F8CD","4ECC9942C6007F92130934D81B29972AA3F95B7B3839BF3D70A74714D290EC01","True"
"Plotting","entrypoint","draw_dispersion_waterfall_EXACT_SOURCE_STYLE.py","draw_dispersion_waterfall_EXACT_SOURCE_STYLE.py","src\draw_dispersion_waterfall_EXACT_SOURCE_STYLE.py","","Figure 7: influence of normalized beta2.","CC59028DD63DEFD876AFD0CEC3B02AC4B15DC4CD0A92A9B239D197D79AFE4193","A190435A6BDC2525C26A444CB71E907FD5358BE3598E6FAC7CE52FDB3198167A","True"
"Plotting","entrypoint","draw_subpulses_grayscale.py","draw_subpulses_grayscale.py","src\draw_subpulses_grayscale.py","","Figure 2: fixed eight-slot pulse representation.","971D023B8D37627B3AFF30B5E4E2963DD1F0791D02E86E6F9EE83A91C0E124FA","A925BE9414244311025D4BCAC83285DEE41AEE57D529830C5EDBBAB1936A9C13","True"
"Plotting","entrypoint","draw_three_table_waveform_icons_SSFM_FINAL_TIMES14_v5_normal_labels.py","draw_three_table_waveform_icons_SSFM_FINAL_TIMES14_v5_normal_labels.py","src\draw_three_table_waveform_icons_SSFM_FINAL_TIMES14_v5_normal_labels.py","","Waveform icons used in the model-comparison table.","C4D4861DC851A6B6502F206F748B5260FCD1D59D832ECECCD0BA0CDD16F60FEC","D48F3C6F727A67E8B485F098167CD16D8F001A20C5F52436238C3D61754D4215","True"
"Plotting","entrypoint","draw_universal_extrapolation_combined_zoom_FINAL_TIMES14_polished_v6_panel_label_fixed.py","draw_universal_extrapolation_combined_zoom_FINAL_TIMES14_polished_v6_panel_label_fixed.py","src\draw_universal_extrapolation_combined_zoom_FINAL_TIMES14_polished_v6_panel_label_fixed.py","","Figure 6: propagation-distance extrapolation.","CC07A4700C155CA25910466A5A00A1C5C4D6CD2B47AB99DAE8B857595ADFBF3E","CC07A4700C155CA25910466A5A00A1C5C4D6CD2B47AB99DAE8B857595ADFBF3E","False"
"Plotting","entrypoint","universal_cnn_architecture_project_auto_v3.py","universal_cnn_architecture_project_auto_v3.py","src\universal_cnn_architecture_project_auto_v3.py","","Figure 3: data-driven model architectures.","6011C9D505CC6543194C24B572190E541D9556F0BEDDEEA1EBA42C906C9957D7","6011C9D505CC6543194C24B572190E541D9556F0BEDDEEA1EBA42C906C9957D7","False"
"Plotting","entrypoint","visualize_universal_beta2_forward_bestK8_D11_paper_SAMESTYLE_TIMES14_representative_mixed_axisfixed.py","visualize_universal_beta2_forward_bestK8_D11_paper_SAMESTYLE_TIMES14_representative_mixed_axisfixed.py","src\visualize_universal_beta2_forward_bestK8_D11_paper_SAMESTYLE_TIMES14_representative_mixed_axisfixed.py","","Figure 8: beta2-MP-PINN forward prediction.","B772F69059B845F456E11D53CD21B1C48508D14CF262D979F39098FA65F976CF","CFB3CC0C768FF0B9445D7E14D241B766B539496BC49A09B7F866890C1947B5A8","True"
"Plotting","entrypoint","visualize_universal_beta2_inverse_bestK8_D11_paper_SAMESTYLE_TIMES14_best200_best_leftlegend_xrange_v6_recovered_handle_aligned.py","visualize_universal_beta2_inverse_bestK8_D11_paper_SAMESTYLE_TIMES14_best200_best_leftlegend_xrange_v6_recovered_handle_aligned.py","src\visualize_universal_beta2_inverse_bestK8_D11_paper_SAMESTYLE_TIMES14_best200_best_leftlegend_xrange_v6_recovered_handle_aligned.py","","Figure 9: beta2-MP-PINN joint inversion.","3AEA69BD9A739670593DCAB0CC6E2BACFA164A62038B4CEF05DC6EECFB0FC5F0","D7A812496BBD341C3D9CE84745FB767228819A2C6D89590EC0E93FF866CEA966","True"
"Plotting","entrypoint","visualize_universal_forward_bestK8_paper_fixedsample_v13.py","visualize_universal_forward_bestK8_paper_fixedsample_v13.py","src\visualize_universal_forward_bestK8_paper_fixedsample_v13.py","","Figure 4: representative MP-PINN forward prediction.","10AAE83F72EB0CE0436820D69E3A0638874FFF6EF17D29DA949806DC5A4A04D8","3AB436F53C167C20FA2C3433B35FDFD10D41D633CA0FFEEDA31C38044060BA53","True"
"Plotting","entrypoint","visualize_universal_inverse_best200_paper_fixedsample_v7.py","visualize_universal_inverse_best200_paper_fixedsample_v7.py","src\visualize_universal_inverse_best200_paper_fixedsample_v7.py","","Figure 5: representative MP-PINN continuous-amplitude inversion.","C5789617D8A3AA5148DF73A3192EC29FA122907863D2A21383217BFC218EB29B","EE5E0AE4EA6EAD87BA59E388EE623CC46814BC994F78C19A36C6C56B11138A8A","True"
