K,A1,A2,A3,A4,A5,A6,A7,A8
8,1,0.25,0.25,0.25,1,0.5,1,1
8,0.75,0.25,0.25,0.5,0.5,1,0.25,0.25
8,1,0.5,0.25,0.5,0.25,0.25,0.5,0.75
8,0.5,0.25,0.25,1,0.75,0.75,0.25,1
8,0.25,1,0.75,1,0.5,0.5,0.25,1
8,0.75,0.75,0.75,0.25,1,0.75,0.75,0.75
8,0.75,0.25,1,0.5,0.25,1,1,1
8,0.25,0.25,0.75,1,0.25,0.75,1,1
8,0.75,1,0.75,0.5,1,1,0.25,1
8,0.5,1,0.25,0.5,1,0.25,0.25,0.75
8,0.5,0.5,1,1,0.5,0.5,0.25,0.75
8,0.75,0.25,0.5,0.5,0.25,1,0.75,1
8,0.5,0.25,1,0.5,0.75,0.75,0.5,0.5
8,0.25,0.25,1,1,0.75,0.25,1,0.5
8,1,1,0.75,0.5,1,1,0.5,0.75
8,0.75,0.5,0.5,0.25,0.75,1,0.75,0.75
8,0.5,1,1,0.75,0.75,0.25,0.25,1
8,0.5,0.5,0.75,0.5,1,0.75,0.25,0.25
8,0.75,0.5,0.75,1,1,0.5,0.25,0.25
8,0.75,1,0.5,0.75,0.5,1,1,0.5
8,1,0.75,0.5,0.25,1,0.75,0.5,0.25
8,0.5,0.5,0.5,0.75,1,0.75,0.25,0.75
8,0.75,1,0.5,1,0.75,1,0.25,0.5
8,0.25,0.5,0.25,1,1,0.5,0.25,0.25
8,0.5,0.75,0.25,0.5,1,0.75,0.75,0.25
8,0.25,1,1,0.75,0.75,0.75,0.5,0.25
8,1,0.5,0.25,0.5,0.25,0.75,0.75,0.75
8,0.25,0.5,0.25,0.75,0.5,1,0.25,0.25
8,1,0.75,0.25,0.5,0.25,1,1,0.5
8,0.25,1,0.5,0.75,0.75,1,0.75,0.75
8,0.25,0.25,0.75,0.75,0.25,0.25,0.25,0.5
8,0.75,1,1,0.75,0.75,0.75,0.5,0.5
8,0.5,0.5,1,0.75,0.25,0.75,0.25,0.5
8,0.25,1,0.5,0.25,0.5,1,0.25,0.5
8,0.5,0.25,0.75,1,1,0.5,0.75,0.5
8,1,0.5,1,0.5,0.25,1,0.25,0.25
8,1,0.5,0.5,0.75,1,0.75,1,0.5
8,1,0.25,0.25,0.25,0.5,0.5,0.5,1
8,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5
8,0.75,0.75,0.75,0.25,0.75,1,1,0.5
8,1,1,1,1,0.75,1,0.25,0.25
8,0.75,1,0.75,1,0.25,1,0.5,1
8,1,0.75,0.75,0.25,0.25,0.75,1,0.5
8,0.5,0.5,0.5,0.5,0.75,1,0.25,0.5
8,0.75,0.5,0.75,0.25,0.5,0.25,0.5,1
8,0.5,0.25,0.75,0.75,0.25,0.75,1,0.25
8,0.25,0.25,0.25,0.25,0.75,1,1,0.75
8,0.25,0.5,0.5,0.75,0.5,1,0.25,0.5
8,0.5,0.25,0.75,0.75,0.75,0.5,0.75,0.25
8,0.75,0.25,1,1,0.5,0.25,1,0.75
8,0.25,0.75,1,0.25,0.25,0.25,0.75,1
8,0.5,0.25,0.5,0.25,0.25,1,1,0.5
8,0.5,0.5,0.75,1,1,0.25,1,1
8,0.75,0.25,0.25,1,0.75,0.5,0.5,0.5
8,1,1,0.5,0.75,0.5,1,0.25,0.25
8,0.5,1,0.25,0.5,0.5,1,0.75,0.5
8,1,1,0.75,0.5,0.25,1,0.5,1
8,0.5,0.25,0.25,0.5,0.5,1,0.75,0.25
8,0.75,0.5,1,0.75,0.5,0.25,0.75,1
8,0.5,1,0.5,0.25,0.5,1,1,1
8,0.5,1,0.75,1,0.25,0.5,1,0.5
8,0.25,1,0.5,1,0.75,1,0.5,0.75
8,0.5,0.25,1,0.5,0.75,0.75,0.25,0.5
8,1,0.25,0.25,0.75,0.75,0.5,0.75,0.5
8,0.25,0.5,0.25,0.5,1,0.5,0.75,1
8,0.25,0.25,1,0.5,0.75,0.25,0.75,0.25
8,0.25,0.5,0.75,1,0.5,0.25,0.5,0.75
8,0.75,0.5,0.25,0.5,0.75,1,1,1
8,0.75,0.25,1,1,0.5,1,0.25,0.5
8,0.25,1,0.75,0.5,1,0.5,1,1
8,0.25,0.25,1,0.75,0.75,0.5,0.25,0.5
8,0.5,0.5,0.75,1,0.5,0.75,0.5,0.5
8,0.5,1,0.5,0.5,0.25,1,1,1
8,0.75,0.5,0.75,0.25,0.5,1,0.5,0.25
8,1,0.25,0.5,0.5,0.25,0.25,0.75,0.5
8,1,1,0.5,1,1,0.5,0.5,0.75
8,0.5,1,1,0.75,0.75,0.75,0.25,0.5
8,0.75,0.25,0.5,0.75,0.25,0.5,1,0.5
8,0.5,0.5,1,0.75,0.25,1,0.75,1
8,0.75,0.75,1,0.75,0.75,1,0.25,1
8,0.5,1,0.5,1,0.75,0.5,0.75,0.25
8,1,0.5,1,0.5,0.25,1,0.25,0.75
8,0.5,0.75,0.5,1,0.75,0.75,0.25,0.5
8,1,0.75,1,1,0.5,0.25,0.75,0.25
8,0.25,1,0.75,0.5,0.75,1,0.5,0.75
8,0.5,0.5,0.5,0.25,1,0.5,1,0.5
8,0.75,1,1,0.25,0.25,0.5,0.5,0.25
8,0.5,1,0.25,0.25,0.25,0.75,0.5,0.25
8,1,0.5,1,0.25,1,1,0.25,0.5
8,0.25,1,0.75,1,1,0.5,0.75,1
8,0.25,0.5,1,0.25,0.5,0.75,0.25,1
8,0.75,0.25,0.75,1,0.5,1,0.75,1
8,0.5,0.25,0.25,0.5,1,0.5,0.25,0.5
8,0.25,1,1,0.75,0.75,1,1,0.25
8,0.25,0.75,0.25,0.75,1,1,1,1
8,1,1,1,0.25,0.5,0.5,0.5,0.5
8,0.5,0.75,0.25,1,0.5,0.5,0.75,0.5
8,1,1,0.75,0.25,1,0.5,0.75,1
8,1,1,1,0.25,1,1,0.75,1
8,1,0.5,0.75,0.75,0.75,0.5,0.25,0.25
8,1,0.25,0.25,1,0.5,0.5,0.5,0.75
8,1,0.5,0.25,0.5,0.5,0.25,1,0.25
8,0.5,0.75,1,0.75,1,0.5,1,1
8,0.5,1,0.75,0.25,0.75,0.25,0.5,0.75
8,0.75,0.5,1,0.75,0.25,0.75,0.25,0.75
8,0.25,1,1,0.25,1,0.75,0.5,0.75
8,0.75,0.25,1,0.5,0.25,1,1,0.5
8,0.75,1,1,0.75,0.5,0.25,0.5,0.25
8,1,1,1,0.25,0.25,1,0.25,0.5
8,1,0.5,0.5,0.75,0.25,0.25,0.25,0.75
8,0.5,0.75,0.25,0.5,0.25,0.75,0.25,0.25
8,0.5,1,1,0.25,1,0.5,1,0.75
8,0.25,1,1,0.25,1,0.75,1,0.75
8,0.75,0.75,0.25,0.25,1,1,0.5,0.25
8,1,0.75,0.75,0.25,1,0.25,1,0.75
8,0.75,0.25,0.25,1,1,0.5,0.75,0.25
8,0.75,0.25,0.5,0.75,0.5,1,0.75,0.5
8,0.75,0.75,1,1,1,1,0.75,0.5
8,0.25,0.75,1,1,0.5,1,1,1
8,0.25,0.75,0.5,1,0.75,0.75,0.75,1
8,0.5,1,1,0.25,0.25,0.25,0.25,0.75
8,1,0.25,0.5,0.75,0.25,0.75,1,0.5
8,0.75,0.75,0.25,0.5,1,0.75,1,0.5
8,0.75,0.5,0.25,0.25,1,0.75,1,0.75
8,0.5,0.75,1,0.75,0.75,0.5,1,0.75
8,0.75,1,1,0.75,0.25,0.75,0.5,1
8,0.75,0.5,0.25,0.5,0.75,0.75,0.5,1
8,0.75,1,1,0.75,1,0.5,0.25,1
8,0.25,0.25,1,1,0.75,1,0.5,0.25
8,0.25,1,0.75,0.25,0.25,0.5,0.25,0.75
8,0.5,0.5,0.75,1,1,0.5,0.5,0.25
8,1,0.5,0.5,1,0.75,0.5,1,0.75
8,0.75,1,0.5,1,0.5,0.5,0.5,0.75
8,1,1,1,0.5,0.75,0.5,0.75,0.25
8,0.75,0.5,0.5,1,1,0.25,0.75,1
8,0.75,0.5,1,1,0.5,1,0.5,0.5
8,0.5,0.25,1,0.75,0.25,1,0.25,0.25
8,0.25,0.75,0.5,0.75,0.25,0.5,0.25,0.5
8,1,0.25,0.5,0.25,0.5,0.25,0.75,0.5
8,0.5,0.75,0.75,0.5,0.25,0.5,1,0.75
8,0.75,0.5,0.5,0.5,0.25,1,0.75,0.75
8,0.5,0.25,1,0.75,0.5,1,0.5,0.5
8,0.75,1,0.75,1,0.5,0.75,0.5,0.75
8,0.5,1,0.25,0.5,0.75,0.5,0.25,0.5
8,0.75,0.25,0.25,0.5,0.5,0.25,0.5,0.25
8,0.5,0.75,1,0.5,1,0.5,0.75,0.5
8,0.25,0.75,0.75,1,0.25,1,0.5,0.25
8,0.5,0.5,0.25,0.75,1,0.75,0.25,1
8,0.25,0.75,0.75,0.25,0.5,0.5,1,1
8,1,0.5,1,0.25,0.75,0.25,0.75,0.25
8,0.5,0.75,0.25,0.5,0.75,0.25,0.75,0.75
8,0.5,1,0.25,0.25,0.5,0.5,1,0.25
8,0.5,1,1,0.5,0.5,0.5,0.25,0.25
8,0.5,0.5,1,0.25,1,0.75,1,0.25
8,1,1,1,0.5,0.5,1,0.5,0.75
8,0.75,1,0.75,0.5,0.5,1,0.75,1
8,1,0.5,1,1,0.25,1,1,0.25
8,0.75,1,1,0.25,0.5,1,1,1
8,0.25,0.75,0.5,1,0.25,1,0.5,0.75
8,0.75,0.5,1,1,0.75,0.75,1,1
8,0.25,1,1,1,0.75,0.75,0.75,1
8,0.75,0.25,0.25,0.75,1,0.75,1,0.25
8,1,1,1,0.25,0.25,0.75,0.75,1
8,0.75,0.75,0.25,0.25,0.25,0.75,0.75,0.25
8,0.25,0.25,1,1,1,1,0.75,0.5
8,0.25,0.5,0.25,0.75,1,1,0.75,0.5
8,0.5,0.25,1,1,0.25,0.25,0.75,0.5
8,0.5,0.25,0.5,0.25,0.75,0.5,0.5,0.75
8,0.5,1,0.75,0.75,1,0.25,0.75,1
8,1,0.25,0.75,0.75,0.75,0.5,0.75,0.75
8,1,1,0.5,1,0.75,1,1,1
8,0.5,0.25,0.25,1,0.25,0.75,0.5,0.25
8,0.75,1,1,0.75,0.25,0.75,0.75,0.5
8,1,0.5,1,0.5,0.25,0.5,0.75,0.25
8,1,0.75,0.25,0.25,1,0.25,0.75,0.5
8,0.25,0.25,0.75,0.5,0.25,0.25,0.5,0.75
8,0.5,0.75,0.25,1,0.25,0.25,0.25,0.75
8,0.75,0.75,0.75,0.5,0.25,1,0.25,0.25
8,1,0.75,0.25,0.75,0.5,1,0.75,0.5
8,0.75,0.75,0.75,1,0.25,0.5,0.75,0.5
8,0.5,0.75,0.25,0.5,0.75,0.75,0.25,1
8,1,0.5,0.25,0.25,0.5,0.25,0.5,0.25
8,0.75,1,0.25,0.25,1,0.5,1,0.25
8,0.5,0.5,0.5,0.25,0.25,0.75,0.75,1
8,0.5,0.5,0.25,0.75,0.75,0.25,0.75,1
8,0.75,0.25,1,0.75,1,0.25,0.75,0.75
8,1,0.75,0.75,0.75,1,1,0.25,0.25
8,0.75,0.75,0.25,0.75,0.75,0.5,0.25,0.75
8,0.75,0.75,0.25,0.5,0.5,1,0.5,1
8,0.25,0.75,0.75,1,1,0.75,0.5,1
8,0.25,0.75,0.75,0.5,1,0.5,0.25,0.25
8,0.75,1,0.25,0.25,0.25,0.25,0.75,0.25
8,0.75,0.5,0.25,0.5,0.5,0.75,0.75,0.5
8,0.5,0.5,0.75,0.5,0.75,0.25,1,0.75
8,0.5,0.75,1,1,0.75,0.25,0.25,1
8,0.25,0.75,0.75,1,1,0.5,1,0.75
8,1,1,0.5,0.5,0.75,0.5,1,0.75
8,0.25,0.25,0.5,0.25,1,0.5,0.25,0.75
8,0.75,1,0.25,0.25,0.75,0.5,0.5,0.25
8,0.75,0.75,0.25,1,0.75,1,1,0.75
8,0.5,0.75,0.75,1,0.25,0.75,0.25,0.25
8,0.25,0.25,0.75,0.5,0.5,1,1,0.5
8,0.75,1,1,0.5,1,0.25,0.25,1
8,0.5,0.75,1,0.75,0.5,0.5,0.25,0.5
8,0.25,0.25,0.25,0.5,0.5,1,0.75,0.25
8,0.75,1,0.5,0.75,0.25,0.5,0.25,0.75
8,0.75,0.25,0.25,0.75,0.25,1,1,0.5
8,1,0.25,0.5,0.25,0.25,0.25,0.75,1
8,0.75,1,0.25,0.5,0.25,0.25,0.5,0.75
8,0.25,0.75,0.75,0.75,0.25,0.25,0.75,0.25
8,0.5,0.5,0.5,0.5,0.5,0.25,1,1
8,0.25,0.75,0.5,1,0.5,0.75,0.75,0.25
8,1,0.25,1,0.25,0.25,1,0.75,0.25
8,0.25,1,0.75,0.5,0.25,1,0.75,0.75
8,0.25,0.5,0.25,0.75,0.75,0.75,0.5,0.75
8,0.25,0.5,0.5,0.75,1,0.75,1,1
8,1,1,0.5,1,1,1,0.75,0.75
8,0.5,0.5,0.75,0.5,1,0.25,1,1
8,1,0.5,1,0.5,0.5,0.25,1,0.75
8,0.25,0.25,0.75,0.25,0.75,0.5,0.75,0.5
8,1,0.25,0.5,1,0.25,0.25,0.75,0.75
8,0.25,0.75,0.75,1,0.25,1,0.5,0.75
8,0.75,1,0.25,1,0.5,0.75,0.75,1
8,0.25,1,0.5,1,0.25,1,0.5,0.5
8,1,1,0.25,1,0.75,0.75,0.75,0.75
8,0.25,1,1,0.5,0.25,0.75,0.25,0.25
8,1,0.5,1,0.75,0.5,0.5,0.5,0.5
8,1,0.25,1,0.75,0.75,0.25,0.5,0.5
8,0.5,0.25,0.75,0.25,0.75,0.75,0.75,0.25
8,1,0.75,0.5,0.5,1,0.75,0.5,1
8,0.5,0.5,1,1,0.75,1,0.25,0.25
8,0.25,1,1,0.5,0.75,0.75,1,0.5
8,0.5,0.25,0.5,0.25,0.75,0.25,1,0.75
8,1,0.25,1,0.25,1,0.75,0.25,0.75
8,0.25,1,0.25,1,0.5,0.75,0.25,0.75
8,0.5,1,0.5,0.75,1,1,0.5,0.5
8,0.5,0.5,0.5,1,0.5,0.5,0.5,0.75
8,0.75,0.75,0.5,0.75,0.5,1,0.5,0.75
8,0.75,0.25,0.5,0.25,0.75,0.25,0.75,0.25
8,0.5,0.75,0.75,1,0.5,0.25,0.75,0.25
8,0.25,0.25,1,0.75,0.5,0.75,0.25,0.25
8,1,1,1,1,0.5,0.75,1,1
8,0.75,0.25,1,0.25,0.5,1,1,1
8,0.75,1,1,1,0.25,0.75,1,1
8,0.75,0.25,0.5,0.5,0.75,1,1,0.75
8,0.5,0.5,0.25,0.5,0.25,1,0.5,0.5
8,1,1,0.25,0.75,1,0.5,0.5,0.5
8,1,0.25,1,0.75,0.75,0.5,0.25,0.5
8,0.5,0.5,0.75,0.75,0.25,1,0.75,1
8,1,0.75,0.75,0.5,0.5,0.25,0.5,1
8,0.5,0.75,0.5,0.75,0.25,0.5,1,0.25
8,0.25,0.75,1,0.5,1,0.5,0.5,1
8,0.25,0.25,0.5,1,1,0.75,1,0.75
8,0.5,0.25,0.25,0.25,0.75,0.75,0.5,0.25
8,0.5,0.5,0.75,0.5,0.5,0.25,0.5,0.75
8,0.5,0.5,1,0.25,1,0.5,0.75,0.75
8,1,0.25,1,0.75,0.25,0.5,1,0.75
8,1,1,0.5,1,0.5,1,0.25,0.75
8,0.5,1,0.25,0.25,0.75,0.25,0.25,0.75
8,1,0.5,1,0.5,0.25,1,0.75,0.25
8,0.75,0.5,1,0.75,0.75,1,0.25,0.75
8,0.75,0.75,0.25,0.25,0.75,0.25,0.5,0.25
8,0.25,1,0.5,0.5,0.25,1,0.75,0.25
8,0.75,0.75,1,0.25,0.5,0.5,0.75,0.75
8,0.5,0.5,1,0.25,0.5,1,1,0.75
8,0.5,0.25,0.25,0.25,0.75,0.5,0.5,1
8,0.5,0.5,0.75,0.25,0.25,0.5,0.75,0.5
8,1,0.5,0.25,0.75,0.75,0.75,0.5,1
8,1,0.5,0.5,0.75,1,0.25,0.5,0.25
8,0.5,0.75,0.75,1,1,0.75,0.25,0.25
8,0.25,1,0.25,0.75,0.75,0.25,0.75,0.75
8,0.5,0.75,0.75,1,0.5,1,0.75,1
8,0.75,0.5,0.25,0.75,0.5,0.75,0.5,1
8,0.75,1,1,1,0.5,1,1,0.75
8,0.75,0.5,1,0.25,0.25,0.5,0.5,0.75
8,0.75,0.25,0.5,0.5,0.75,0.25,1,0.5
8,0.5,0.75,0.5,0.5,0.5,1,0.75,1
8,0.5,0.5,0.75,0.5,0.5,0.5,1,1
8,0.25,0.5,1,0.5,0.25,0.5,0.5,0.75
8,1,0.5,0.5,0.25,1,0.5,0.75,0.25
8,0.5,1,0.75,0.75,0.5,1,0.25,0.25
8,0.75,0.75,1,0.75,0.25,1,0.5,0.25
8,0.75,0.75,0.75,1,1,0.25,1,1
8,1,0.5,0.25,0.75,0.25,0.5,0.25,0.5
8,0.25,0.75,0.25,0.5,0.5,0.25,0.5,0.75
8,1,0.5,0.25,1,0.75,0.25,1,1
8,0.25,0.25,0.75,1,0.75,0.25,0.5,0.25
8,0.5,1,1,0.75,0.75,0.75,0.75,0.75
8,0.25,0.5,0.25,0.5,0.75,0.5,0.5,0.5
8,0.25,0.5,0.75,0.75,0.75,0.5,0.75,1
8,0.25,0.5,0.5,0.5,0.75,0.75,0.25,0.25
8,0.25,0.5,0.5,1,0.75,1,0.5,1
8,0.75,0.75,0.5,0.75,0.25,0.25,1,0.75
8,1,0.25,0.5,0.5,0.75,1,1,0.5
8,1,0.25,0.5,0.25,1,0.75,1,1
8,0.5,1,0.5,1,1,1,0.5,1
8,0.25,0.5,1,0.75,1,1,1,0.75
8,0.5,0.75,1,1,0.25,0.25,0.25,0.75
8,0.75,0.5,0.75,1,1,0.5,0.5,1
8,0.75,0.5,0.25,0.75,0.5,0.75,1,0.5
8,1,0.25,0.5,0.25,0.75,0.75,0.75,1
8,0.25,1,0.5,0.5,1,0.25,0.75,0.75
8,1,0.5,0.5,0.75,0.25,0.75,0.5,1
8,0.5,1,0.75,0.75,1,0.25,1,0.5
8,1,1,1,0.75,0.25,0.75,0.25,0.5
8,0.75,0.25,0.5,0.5,0.25,0.75,0.5,0.5
8,1,0.5,0.75,0.5,0.75,0.5,0.5,0.25
8,0.5,0.25,0.75,0.75,0.25,1,0.25,0.75
8,1,0.5,0.75,0.25,0.5,0.25,1,0.5
8,0.25,1,1,0.25,1,1,1,0.75
8,1,0.25,0.5,0.75,0.75,1,0.25,0.25
8,0.75,0.75,0.5,0.75,0.25,0.75,0.25,0.75
8,0.5,1,0.75,0.25,1,0.25,0.25,0.5
8,1,0.25,0.5,1,0.5,0.5,0.25,1
8,0.25,0.75,0.5,1,0.25,1,0.25,0.25
8,1,1,0.25,0.5,0.25,0.25,0.75,0.75
8,0.75,0.5,0.25,0.25,0.5,0.75,0.5,0.75
8,0.25,0.75,0.75,0.75,0.25,0.5,0.75,1
8,0.5,1,0.75,0.75,0.25,0.25,0.75,0.75
8,0.75,1,1,1,0.5,1,1,0.25
8,0.25,1,0.75,0.25,1,0.75,0.5,0.25
8,0.25,0.75,0.75,0.25,0.25,1,0.25,0.5
8,0.25,0.75,0.25,1,0.25,1,0.5,0.75
8,0.5,0.25,0.25,0.5,1,0.5,0.5,0.5
8,1,1,0.5,1,0.75,0.5,0.5,1
8,1,0.5,0.75,1,0.25,1,0.75,1
8,0.75,0.25,0.75,0.75,0.5,0.5,0.5,0.5
8,0.5,0.5,0.25,1,0.75,0.25,1,1
8,0.5,0.25,0.5,0.25,0.75,1,0.25,0.75
8,0.25,0.75,0.5,0.25,0.25,0.25,0.25,0.5
8,0.75,0.25,0.75,0.25,0.75,0.5,0.5,0.75
8,0.75,0.25,0.75,0.25,1,0.75,0.75,0.25
8,0.5,0.75,0.75,0.5,0.5,0.25,0.75,0.25
8,0.25,1,1,0.25,0.75,0.75,0.25,0.75
8,0.25,0.75,0.75,0.25,0.25,0.25,0.5,1
8,0.25,0.25,0.25,0.75,1,0.5,0.75,1
8,0.75,0.5,0.25,0.25,1,0.25,0.25,1
8,0.75,1,0.75,0.25,0.75,0.25,0.5,0.25
8,0.25,0.75,0.75,0.25,0.5,0.5,0.5,0.5
8,0.75,0.75,0.75,0.75,0.5,1,0.25,1
8,1,0.5,0.25,0.25,0.5,0.75,1,0.75
8,1,0.25,1,0.5,1,0.25,0.75,0.25
8,0.5,0.75,0.75,1,1,0.75,0.5,0.5
8,1,0.25,0.75,1,1,0.75,1,0.5
8,1,0.75,0.25,0.5,0.25,1,0.75,0.75
8,0.25,1,0.75,0.75,0.75,0.5,0.25,0.25
8,1,0.75,1,1,1,0.5,1,0.25
8,0.25,0.75,0.75,1,0.5,1,0.25,0.5
8,0.25,0.75,0.5,1,0.25,0.75,0.75,1
8,1,1,0.75,0.25,0.25,0.25,0.75,0.25
8,0.5,0.5,0.75,1,0.75,0.75,0.75,0.5
8,0.25,0.5,0.75,0.25,0.5,0.25,0.75,1
8,1,0.5,0.5,0.75,0.25,0.5,0.5,0.75
8,0.25,0.5,1,1,1,0.75,0.5,0.75
8,0.25,0.5,1,1,0.5,0.75,0.75,0.75
8,0.25,0.5,0.75,1,0.75,0.5,1,0.25
8,1,1,0.5,0.25,0.75,0.5,0.75,1
8,0.75,0.5,0.5,0.5,1,0.5,1,0.75
8,0.75,0.5,1,0.5,0.5,1,1,0.5
8,1,1,0.5,0.25,0.5,0.25,1,1
8,0.25,0.25,0.25,0.5,1,0.25,0.25,0.25
8,0.25,0.5,0.25,0.75,0.5,0.5,0.25,1
8,1,0.75,0.5,0.5,1,0.75,0.25,0.5
8,1,0.75,0.25,0.5,0.75,0.75,0.75,0.25
8,0.25,0.5,0.25,0.5,0.25,0.75,0.5,1
8,0.5,0.5,0.75,1,0.25,0.25,1,0.25
8,0.5,0.25,1,1,0.5,0.75,1,0.75
8,0.5,1,1,1,1,1,0.75,0.75
8,0.75,0.25,0.75,0.5,0.75,0.25,0.75,0.5
8,1,0.75,1,1,0.75,0.75,0.75,0.25
8,0.25,1,0.25,0.75,0.5,0.75,0.5,0.25
8,0.5,0.25,1,1,0.5,1,0.75,0.75
8,0.25,0.5,0.25,0.25,0.75,0.75,0.75,0.75
8,0.75,0.75,0.75,1,1,0.25,0.25,0.25
8,1,0.75,0.5,0.75,0.25,0.5,0.75,1
8,0.5,0.5,1,0.5,0.5,0.5,1,1
8,0.75,0.25,0.25,0.25,0.75,1,0.75,0.75
8,0.5,1,1,1,0.25,1,1,0.5
8,0.25,0.5,1,1,0.5,1,0.75,0.25
8,0.75,0.75,1,1,1,0.5,1,0.5
8,1,0.25,0.5,0.25,0.75,1,1,0.75
8,0.25,1,0.75,0.5,1,0.5,1,0.25
8,0.75,0.75,1,0.25,0.25,1,0.75,0.75
8,1,0.5,0.5,0.75,0.5,0.75,0.25,0.75
8,1,1,0.75,0.5,0.75,0.5,0.75,0.75
8,0.75,0.75,1,0.25,0.5,1,0.5,0.5
8,0.75,1,0.75,0.5,0.25,0.5,1,1
8,0.75,0.5,1,0.5,0.25,0.5,1,1
8,1,0.75,0.25,1,0.75,1,0.25,0.5
8,1,0.5,0.25,0.75,0.75,0.75,0.25,0.5
8,1,0.75,0.75,1,0.25,0.25,0.5,0.25
8,0.5,0.75,1,0.5,0.5,1,0.75,0.75
8,0.5,0.75,1,0.25,0.75,0.5,0.75,1
8,1,1,0.25,0.75,0.5,0.5,0.5,0.25
8,0.5,0.75,1,0.75,1,1,1,1
8,0.5,0.75,0.75,1,1,0.5,1,0.25
8,0.25,1,1,0.75,0.75,0.75,1,0.75
8,0.75,0.75,0.75,0.75,1,1,1,0.25
8,0.25,0.75,1,1,0.25,0.5,0.5,0.5
8,1,1,0.5,1,1,0.25,1,0.5
8,0.5,1,0.25,0.75,0.25,1,1,0.75
8,1,0.25,1,1,1,0.25,0.75,0.5
8,0.25,0.5,0.5,0.75,0.25,0.25,0.75,1
8,0.75,0.25,0.5,0.75,1,0.75,0.75,1
8,0.5,0.5,0.75,0.5,1,0.75,0.75,0.5
8,0.75,0.5,0.5,1,0.25,0.5,0.75,0.25
8,0.75,0.5,0.5,0.75,0.5,0.25,0.75,1
